mask,index,timestamp,keyframe_index,group,valid_pixel_count,retained_fraction,median_m,p90_m,p95_m,p99_m,max_m,fraction_gt_0_30,global_top1_contribution,confidence_0_fraction_m0,confidence_1_fraction_m0,confidence_2_fraction_m0,zero_valid_depth
M0_RAW_POSITIVE,0,653418.418,0,0,49152,1.0,0.025492243468761444,0.04697468020021916,0.04953644443303346,0.08387772575020741,0.12172307819128036,0.0,0.0,0.0,0.00628662109375,0.99371337890625,False
M1_CONFIDENCE_GE1,0,653418.418,0,0,49152,1.0,0.025492243468761444,0.04697468020021916,0.04953644443303346,0.08387772575020741,0.12172307819128036,0.0,0.0,0.0,0.00628662109375,0.99371337890625,False
M2_CONFIDENCE_EQ2,0,653418.418,0,0,48843,0.99371337890625,0.02548087388277054,0.04686900600790978,0.049427689611911775,0.08271283447742475,0.10079293698072433,0.0,0.0,0.0,0.00628662109375,0.99371337890625,False
M0_RAW_POSITIVE,1,653418.602,1,0,49152,1.0,0.033252475783228874,0.046498898416757584,0.049472311697900284,0.05789701554924227,0.13783985376358032,0.0,0.0,0.014994303385416666,0.021586100260416668,0.9634195963541666,False
M1_CONFIDENCE_GE1,1,653418.602,1,0,48415,0.9850056966145834,0.033457085490226746,0.04658039733767509,0.049505316466093054,0.05835785046219831,0.13783985376358032,0.0,0.0,0.014994303385416666,0.021586100260416668,0.9634195963541666,False
M2_CONFIDENCE_EQ2,1,653418.602,1,0,47354,0.9634195963541666,0.03367945924401283,0.04657421335577965,0.04945049602538347,0.054926499016582996,0.09792781621217728,0.0,0.0,0.014994303385416666,0.021586100260416668,0.9634195963541666,False
M0_RAW_POSITIVE,2,653418.702,2,0,49152,1.0,0.034282220527529716,0.044490405917167665,0.04727598242461681,0.0607779301330446,0.12747350335121155,0.0,0.0,0.009724934895833334,0.03558349609375,0.9546915690104166,False
M1_CONFIDENCE_GE1,2,653418.702,2,0,48674,0.9902750651041666,0.03434615768492222,0.04444856457412243,0.047155579924583434,0.060320665352046485,0.12747350335121155,0.0,0.0,0.009724934895833334,0.03558349609375,0.9546915690104166,False
M2_CONFIDENCE_EQ2,2,653418.702,2,0,46925,0.9546915690104166,0.03454763814806938,0.04429443106055259,0.04670002907514571,0.05720184132456783,0.12192700803279877,0.0,0.0,0.009724934895833334,0.03558349609375,0.9546915690104166,False
M0_RAW_POSITIVE,3,653418.802,3,0,49152,1.0,0.03640975430607796,0.0523595105856657,0.05508951786905526,0.06090296246111391,0.1432996690273285,0.0,0.0,0.0004069010416666667,0.0159912109375,0.9836018880208334,False
