frame_index,timestamp,candidate,pixel_count,retained_fraction,spearman_confidence_vs_error,high_count,low_count,high_median_m,high_p95_m,high_p99_m,low_median_m,low_p95_m,low_p99_m,tail_gt_030_given_low,tail_gt_030_given_high,tail_separation,high_p99_improvement_vs_identity_m,tail_separation_improvement_vs_identity,better_than_identity
2,653418.702,identity,49152,1.0,0.11412130890721674,48674,478,0.03434615768492222,0.047155579924583434,0.060320665352046485,0.012144050095230341,0.06119941994547844,0.06871528543531895,0.0,0.0,0.0,0.0,0.0,False
2,653418.702,transpose,49152,1.0,0.05347039239605921,48642,510,0.03429701738059521,0.047317756898701185,0.06095244497060756,0.03070543147623539,0.0407253997400403,0.041698303446173667,0.0,0.0,0.0,-0.0006317796185610763,0.0,False
2,653418.702,horizontal_flip,49152,1.0,0.17020032218617817,48674,478,0.034394120797514915,0.04731592554599047,0.060934201180934726,0.024603799916803837,0.03313838541507721,0.03759464401751757,0.0,0.0,0.0,-0.0006135358288882412,0.0,False
2,653418.702,vertical_flip,49152,1.0,0.08411414047618623,48674,478,0.034284116700291634,0.04731592554599047,0.060934201180934726,0.028032340109348297,0.04085367526859045,0.04215031512081623,0.0,0.0,0.0,-0.0006135358288882412,0.0,False
2,653418.702,rotate90,49152,1.0,0.15461517520402407,48730,422,0.03434712626039982,0.04726908225566148,0.0608753091469407,0.02792169898748398,0.047837387211620806,0.057575541324913514,0.0,0.0,0.0,-0.0005546437948942134,0.0,False
2,653418.702,rotate180,49152,1.0,0.029298395495540506,48674,478,0.034256020560860634,0.04731592554599047,0.060934201180934726,0.035545170307159424,0.038808659091591834,0.03978611201047898,0.0,0.0,0.0,-0.0006135358288882412,0.0,False
2,653418.702,rotate270,49152,1.0,0.0992694266975294,48631,521,0.03430812060832977,0.04731836915016174,0.06095871627330764,0.02411716617643833,0.03894852474331856,0.04034846425056458,0.0,0.0,0.0,-0.0006380509212611518,0.0,False
2,653418.702,anti_transpose,49152,1.0,0.14848622914805157,48719,433,0.03438129648566246,0.04730519391596317,0.060911794677376736,0.016317645087838173,0.03290840387344358,0.047457968145608924,0.0,0.0,0.0,-0.0005911293253302516,0.0,False
2,653418.702,offset_-2,49152,1.0,-0.03884329075445434,49152,0,0.034282220527529716,0.04727598242461681,0.0607779301330446,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004572647809981123,0.0,False
2,653418.702,offset_-1,49152,1.0,0.23235755430483107,48415,737,0.03447267413139343,0.047338639944791774,0.060987838655710225,0.012415273115038872,0.026274027675390242,0.02872402042150497,0.0,0.0,0.0,-0.0006671733036637401,0.0,False
2,653418.702,offset_+1,49152,1.0,0.13722988066814684,49132,20,0.034285712987184525,0.04727790541946887,0.06078978475183262,0.012378106825053692,0.016649276297539473,0.018752849157899616,0.0,0.0,0.0,-0.0004691193997861387,0.0,False
2,653418.702,offset_+2,49152,1.0,0.23813082875132016,47642,1510,0.03464627079665661,0.047447501309216024,0.06112095210701221,0.014682355802506208,0.027188630960881706,0.034080525785684615,0.0,0.0,0.0,-0.0008002867549657261,0.0,False
9,653419.401,identity,49152,1.0,-0.02136399336093665,47707,1445,0.01539573073387146,0.04991455189883709,0.05753012605011477,0.021758273243904114,0.06227968931198119,0.09133225172758101,0.0,0.0,0.0,0.0,0.0,False
9,653419.401,transpose,49152,1.0,0.08095103499693641,47641,1511,0.015748145058751106,0.0500788688659668,0.05894137024879449,0.009687432087957859,0.04757264070212841,0.07385387569665913,0.0,0.0,0.0,-0.0014112441986797244,0.0,False
9,653419.401,horizontal_flip,49152,1.0,-0.20444728067128823,47707,1445,0.015039189718663692,0.049997798725962626,0.06033187068998819,0.04100269451737404,0.05058003142476082,0.052291014194488526,0.0,0.0,0.0,-0.00280174463987342,0.0,False
9,653419.401,vertical_flip,49152,1.0,0.12928533178860907,47707,1445,0.01590653322637081,0.05022771842777728,0.06033187068998819,0.006333476398140192,0.020009858906269072,0.021604992821812625,0.0,0.0,0.0,-0.00280174463987342,0.0,False
9,653419.401,rotate90,49152,1.0,0.18053158013643514,47740,1412,0.01594147738069296,0.05022660195827484,0.06032466303557159,0.0038173645734786987,0.01998943630605936,0.02381078608334068,0.0,0.0,0.0,-0.0027945369854568206,0.0,False
9,653419.401,rotate180,49152,1.0,-0.09251056781755373,47707,1445,0.015257901512086391,0.04981728084385395,0.05897467769682408,0.03603363037109375,0.05381104871630668,0.0679951938986778,0.0,0.0,0.0,-0.0014445516467093134,0.0,False
9,653419.401,rotate270,49152,1.0,-0.18338386876120116,47672,1480,0.015065748244524002,0.04938003998249767,0.060388536415994336,0.044278182089328766,0.05488064382225275,0.05609747014939785,0.0,0.0,0.0,-0.0028584103658795684,0.0,False
9,653419.401,anti_transpose,49152,1.0,0.014456880634145191,47770,1382,0.015579323284327984,0.05013395734131336,0.06031811062246556,0.013592371251434088,0.04803390372544527,0.05203271623700857,0.0,0.0,0.0,-0.002787984572350792,0.0,False
9,653419.401,offset_-2,49152,1.0,0.19198073636027987,46346,2806,0.015640664845705032,0.04997308366000652,0.05721981506794697,0.012903386726975441,0.05382024496793747,0.08784183040261268,0.0,0.0,0.0,0.0003103109821677996,0.0,False
9,653419.401,offset_-1,49152,1.0,0.11656137046404001,48048,1104,0.015322159044444561,0.05002342127263547,0.058351908288896075,0.022135483101010323,0.056456793658435325,0.09109885215759278,0.0,0.0,0.0,-0.0008217822387813073,0.0,False
9,653419.401,offset_+1,49152,1.0,0.1061383866974087,47485,1667,0.015552559867501259,0.04999360665678977,0.057984917610883424,0.014472072012722492,0.05382005423307419,0.08197114333510366,0.0,0.0,0.0,-0.00045479156076865673,0.0,False
9,653419.401,offset_+2,49152,1.0,0.0016193622300605796,47844,1308,0.015651971101760864,0.05006757508963346,0.05886472705751657,0.011553591582924128,0.04985219910740852,0.07550482854247104,0.0,0.0,0.0,-0.0013346010074017992,0.0,False
15,653420.301,identity,49152,1.0,-0.2575338935412031,46348,2804,0.011580293998122215,0.038286379724740985,0.059134132117032834,0.03893483988940716,0.6755442827939986,0.732458043694496,0.21433666191155493,0.0,0.21433666191155493,0.0,0.0,False
15,653420.301,transpose,49152,1.0,-0.027750738431154904,46278,2874,0.011793899349868298,0.044378306157886994,0.5261266005039243,0.014185338746756315,0.032307256199419494,0.0347994327172637,0.0006958942240779402,0.012943515277237564,-0.012247621053159623,-0.4669924683868915,-0.22658428296471456,False
15,653420.301,horizontal_flip,49152,1.0,-0.16745776283158384,46348,2804,0.01161475945264101,0.03979411497712136,0.507831460833549,0.028314271941781044,0.08334721401333808,0.5030401548743239,0.014978601997146932,0.01206093035298179,0.0029176716441651415,-0.4486973287165162,-0.21141899026738978,False
15,653420.301,vertical_flip,49152,1.0,-0.2711360403803444,46348,2804,0.011593222618103027,0.0389890018850565,0.08345569178462005,0.03372822515666485,0.6627377808094024,0.7280885183811185,0.16191155492154066,0.0031716578924656943,0.15873989702907496,-0.024321559667587214,-0.05559676488247997,False
15,653420.301,rotate90,49152,1.0,-0.09471279671372572,46356,2796,0.011857826728373766,0.04369594436138868,0.5062201648950575,0.012611348647624254,0.03606786858290434,0.6057385236024857,0.01072961373390558,0.012317715074639744,-0.0015881013407341646,-0.44708603277802467,-0.2159247632522891,False
15,653420.301,rotate180,49152,1.0,-0.17712979501239284,46348,2804,0.011671062093228102,0.03951779752969742,0.09414334900677153,0.027692388743162155,0.6236800163984298,0.7249058157205581,0.10057061340941512,0.006882713385690861,0.09368790002372425,-0.035009216889738695,-0.12064876188783068,False
15,653420.301,rotate270,49152,1.0,-0.07438492857550924,46327,2825,0.01168065145611763,0.04368454590439791,0.5257998251914968,0.017912745475769043,0.04139954298734664,0.0506018838286397,0.0,0.012972996308847972,-0.012972996308847972,-0.466665693074464,-0.2273096582204029,False
