tail,frame_index,timestamp,group,tail_pixel_count,contribution_fraction
TAIL_010,0,653418.418,0,861,0.00081855544453455
TAIL_010,1,653418.602,0,348,0.0003308447092892258
TAIL_010,2,653418.702,0,355,0.0003374996316025148
TAIL_010,3,653418.802,0,307,0.00029186587859710434
TAIL_010,4,653418.902,0,143,0.00013595055582861864
TAIL_010,5,653419.002,0,892,0.0008480272433505443
TAIL_010,6,653419.102,0,1776,0.0016884488612001866
TAIL_010,7,653419.201,0,962,0.0009145764664834345
TAIL_010,8,653419.301,0,819,0.0007786259106548158
TAIL_010,9,653419.401,0,362,0.00034415455391580385
TAIL_010,10,653419.501,0,452,0.00042971784080094843
TAIL_010,11,653419.601,0,534,0.0005076755021851913
TAIL_010,12,653419.701,0,436,0.00041450658979914494
TAIL_010,13,653419.901,0,343,0.0003260911933511622
TAIL_010,14,653420.101,0,446,0.00042401362167527213
TAIL_010,15,653420.301,0,1387,0.0013186253212188394
TAIL_010,16,653420.501,0,2658,0.0025269690726746038
TAIL_010,17,653420.801,0,3078,0.002926264411471945
TAIL_010,18,653421.101,0,1981,0.0018833430146607938
TAIL_010,19,653421.501,0,2429,0.0023092580427112913
TAIL_010,20,653421.800,0,1506,0.001431759000544753
TAIL_010,21,653422.100,0,3217,0.003058412154550113
TAIL_010,22,653422.300,0,3281,0.003119257158557327
TAIL_010,23,653422.500,0,1305,0.0012406676598345967
TAIL_010,24,653422.700,1,117,0.00011123227295068798
TAIL_010,25,653422.900,1,84,7.985906775946829e-05
TAIL_010,26,653423.100,1,678,0.0006445767612014226
TAIL_010,27,653423.300,1,395,0.0003755277591070235
TAIL_010,28,653423.600,1,163,0.000154964619580873
TAIL_010,29,653423.800,1,174,0.0001654223546446129
TAIL_010,30,653424.000,1,424,0.00040309815154779234
TAIL_010,31,653424.199,1,120,0.00011408438251352613
TAIL_010,32,653424.399,1,294,0.000279506737158139
TAIL_010,33,653424.599,1,346,0.00032894330291400036
TAIL_010,34,653424.799,1,428,0.0004069009642982432
TAIL_010,35,653424.999,1,1771,0.0016836953452621232
TAIL_010,36,653425.199,1,4292,0.004080418081233784
TAIL_010,37,653425.499,1,3046,0.0028958419094683384
TAIL_010,38,653425.699,1,5192,0.004936050950085231
TAIL_010,39,653425.899,1,6372,0.0060578807114682375
TAIL_010,40,653426.099,1,3069,0.002917708082783431
TAIL_010,41,653426.299,1,5719,0.005437071529957133
TAIL_010,42,653426.499,2,5402,0.005135698619483901
TAIL_010,43,653426.598,2,5672,0.005392388480139335
TAIL_010,44,653426.798,2,7585,0.007211083678042464
TAIL_010,45,653426.998,2,5794,0.005508374269028087
TAIL_010,46,653427.198,2,3226,0.0030669684832386273
TAIL_010,47,653427.398,2,1203,0.0011436959346980994
TAIL_010,48,653427.598,2,1269,0.0012064423450805389
TAIL_010,49,653427.798,2,468,0.0004449290918027519
TAIL_010,50,653427.998,2,614,0.0005837317571942087
TAIL_010,51,653428.198,2,468,0.0004449290918027519
TAIL_010,52,653428.498,2,670,0.0006369711357005209
TAIL_010,53,653428.898,2,780,0.0007415484863379199
TAIL_010,54,653429.097,2,2254,0.0021428849848790657
TAIL_010,55,653429.397,2,4262,0.004051896985605403
TAIL_010,56,653429.897,2,3938,0.0037438691528188825
TAIL_010,57,653430.097,2,4385,0.004168833477681768
TAIL_010,58,653430.497,2,6070,0.005770768348809197
TAIL_010,59,653431.097,2,5977,0.005682352952361214
