candidate_id,scene,trial_id,steps_observed,natural_warning_steps,first_natural_warning_step,h1_warning_steps,h2_warning_steps,h3_warning_steps,slowdown_active_steps,first_slowdown_step,min_scale_applied,max_scale_applied,max_control_delta_from_slowdown,command_modified_only_when_warning,collision_observed,qp_infeasible_observed,recovery_used_observed,completed,stop_reason,u_nom_modified,u_safe_internal_modified,wrapper_exec_command_scaled,run_completed,notes
C003,flight,14,69,10,60,8,9,10,10,60,0.25,0.75,0.018518980592489243,True,False,False,False,False,stalled_before_goal,False,False,True,True,"Scale range covers warning-gated active steps only. No recovery, planner, CBF-QP, dynamics, or GSplat query changes."
C004,flight,85,160,68,71,61,65,68,68,71,0.25,0.75,0.042157478630542755,True,False,False,False,False,max_steps,False,False,True,True,"Scale range covers warning-gated active steps only. No recovery, planner, CBF-QP, dynamics, or GSplat query changes."
C002,flight,12,160,24,102,20,22,24,24,102,0.25,0.75,0.02343866601586342,True,False,False,False,False,max_steps,False,False,True,True,"Scale range covers warning-gated active steps only. No recovery, planner, CBF-QP, dynamics, or GSplat query changes."
C001,flight,13,160,21,114,19,20,21,21,114,0.25,0.75,0.026452668011188507,True,False,False,False,False,max_steps,False,False,True,True,"Scale range covers warning-gated active steps only. No recovery, planner, CBF-QP, dynamics, or GSplat query changes."
C006,flight,31,160,41,120,39,40,41,41,120,0.25,0.75,0.035835616290569305,True,False,False,False,False,max_steps,False,False,True,True,"Scale range covers warning-gated active steps only. No recovery, planner, CBF-QP, dynamics, or GSplat query changes."
