trial_id,activation_count,stage_a_success_count,stage_a_success_rate,stage_b_entry_count,stage_b_entry_rate,stage_a_median_runtime_sec,stage_b_median_runtime_sec,total_recovery_median_runtime_sec,notes
12,24,24,1.0,0,0.0,1.5918359775096178,,1.5918359775096178,Active hierarchical trajectory; no raw candidate records retained.
13,28,28,1.0,0,0.0,1.6384554812684655,,1.6384554812684655,Active hierarchical trajectory; no raw candidate records retained.
14,8,8,1.0,0,0.0,1.639149658381939,,1.639149658381939,Active hierarchical trajectory; no raw candidate records retained.
