source_scope,source_kind,N_all,N_formal_replayable,N_diagnostic_reconstructable,N_not_replayable,N_L2_reached,N_L2_reachability_unknown,N_L2_candidate_evaluated,N_L2_PASS,N_L2_FAIL,N_L2_UNKNOWN,formal_replay_coverage
PR87_ACTIVATED_ONE_STEP,PR87_ACTIVATED_ONE_STEP,920,880,0,40,230,420,230,212,18,0,0.9565217391304348
PR87_REPLICA_ROLLOUT_STEP,PR87_REPLICA_ROLLOUT_STEP,3603,0,0,3603,0,3603,0,0,0,0,0.0
PR89_NORMALIZED_ONE_STEP,PR89_NORMALIZED_ONE_STEP,2330,1714,0,616,558,1772,558,558,0,0,0.7356223175965665
