trial_scope,source_run_id,trial_id,N_all,N_formal_replayable,N_diagnostic_reconstructable,N_not_replayable,N_L2_reached,N_L2_reachability_unknown,N_L2_candidate_evaluated,N_L2_PASS,N_L2_FAIL,N_L2_UNKNOWN,formal_replay_coverage
PR87_ACTIVATED_ONE_STEP|E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:0f5922305009057964cd192ed49d3c8d6b71d72ee44372ec4bd7209792542cad,PR87_ACTIVATED_ONE_STEP,E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:0f5922305009057964cd192ed49d3c8d6b71d72ee44372ec4bd7209792542cad,1,1,0,0,0,1,0,0,0,0,1.0
PR87_ACTIVATED_ONE_STEP|E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:0fdfc6a917540809cf1aef757ce53b25711910f3a2a47641c83c7760a2e11d4b,PR87_ACTIVATED_ONE_STEP,E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:0fdfc6a917540809cf1aef757ce53b25711910f3a2a47641c83c7760a2e11d4b,1,1,0,0,0,1,0,0,0,0,1.0
PR87_ACTIVATED_ONE_STEP|E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:12edab966401f4e8cbe04d2ea7da127d4599e1ef904442110790f2b442354fb1,PR87_ACTIVATED_ONE_STEP,E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:12edab966401f4e8cbe04d2ea7da127d4599e1ef904442110790f2b442354fb1,1,1,0,0,0,1,0,0,0,0,1.0
PR87_ACTIVATED_ONE_STEP|E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:14c396035141f0c134184288b5df3c7081f7dbc72c4d0f5c45e5307fef542aa0,PR87_ACTIVATED_ONE_STEP,E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:14c396035141f0c134184288b5df3c7081f7dbc72c4d0f5c45e5307fef542aa0,1,1,0,0,0,1,0,0,0,0,1.0
PR87_ACTIVATED_ONE_STEP|E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:16673c25ede2d2bf022e1f9eec4dd83dbb8d880d94572d25a91ed1ad0cc30e72,PR87_ACTIVATED_ONE_STEP,E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:16673c25ede2d2bf022e1f9eec4dd83dbb8d880d94572d25a91ed1ad0cc30e72,1,1,0,0,0,1,0,0,0,0,1.0
PR87_ACTIVATED_ONE_STEP|E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:1691f371be27704f087f13d39c0b0c846a4288c9530dd44b6680484cc6054c1a,PR87_ACTIVATED_ONE_STEP,E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:1691f371be27704f087f13d39c0b0c846a4288c9530dd44b6680484cc6054c1a,1,1,0,0,0,1,0,0,0,0,1.0
PR87_ACTIVATED_ONE_STEP|E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:19d679dcaa5d9ce57ee7884fc2a773f342810116dee9784f0fd1f4ed7e6eaa8f,PR87_ACTIVATED_ONE_STEP,E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:19d679dcaa5d9ce57ee7884fc2a773f342810116dee9784f0fd1f4ed7e6eaa8f,1,1,0,0,0,1,0,0,0,0,1.0
PR87_ACTIVATED_ONE_STEP|E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:1b08529e208b7a95585f65dbd64a2139c0a5a068f61de72ce2ddf12ea248dfa1,PR87_ACTIVATED_ONE_STEP,E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:1b08529e208b7a95585f65dbd64a2139c0a5a068f61de72ce2ddf12ea248dfa1,1,1,0,0,0,1,0,0,0,0,1.0
PR87_ACTIVATED_ONE_STEP|E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:1d0e18478950f88ca2d286909cbb18e43d75321d52498304f18db70110189f85,PR87_ACTIVATED_ONE_STEP,E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:1d0e18478950f88ca2d286909cbb18e43d75321d52498304f18db70110189f85,1,1,0,0,0,1,0,0,0,0,1.0
PR87_ACTIVATED_ONE_STEP|E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:1e72ebb89bd2f14e2ce7555535a1a803006e15a0ff43bc78b0b4431bc6cd9e1b,PR87_ACTIVATED_ONE_STEP,E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:1e72ebb89bd2f14e2ce7555535a1a803006e15a0ff43bc78b0b4431bc6cd9e1b,1,1,0,0,0,1,0,0,0,0,1.0
