trial_id,progress_delta_active_minus_reference,collision_proxy_difference,margin_violation_difference,min_collision_clearance_difference_m,goal_discordance,step_count_difference,compute_median_ratio,compute_p95_ratio,termination_category_pair
5,-0.29229643555702833,0,0,0.03170318407421646,False,-167,2.252399397219377,1.8617026941186372,NATIVE_NOT_MOVING | NATIVE_NOT_MOVING
15,0.0,0,0,0.0,False,0,4.557282203299657,4.371463340761052,NATIVE_NOT_MOVING | NATIVE_NOT_MOVING
25,-0.8531383172495484,0,0,0.04403644169684382,False,-332,2.132831121114004,1.8652729587272878,NATIVE_NOT_MOVING | NATIVE_NOT_MOVING
35,0.0,0,0,0.0,False,0,4.1103098749074025,3.7955302699024593,NATIVE_NOT_MOVING | NATIVE_NOT_MOVING
45,-0.06684994582707256,0,0,0.022179575360415878,False,-50,1.948499711273927,1.624202370422357,NATIVE_NOT_MOVING | NATIVE_NOT_MOVING
55,0.0,0,0,0.0,False,0,3.9042122152408076,3.754006419558858,NATIVE_NOT_MOVING | NATIVE_NOT_MOVING
65,0.0,0,0,0.0,False,0,5.452492541342094,5.082404980797111,NATIVE_NOT_MOVING | NATIVE_NOT_MOVING
75,-0.6139029556217381,0,0,0.025629909321092513,False,-237,2.2488008461232396,1.9490724177173606,NATIVE_NOT_MOVING | NATIVE_NOT_MOVING
85,-0.21577868953147084,0,0,0.0190312355436869,False,-86,2.1644884111575107,1.9651246501932458,NATIVE_NOT_MOVING | NATIVE_NOT_MOVING
95,0.0,0,0,0.0,False,0,3.2564538869412156,3.024508608389305,NATIVE_NOT_MOVING | NATIVE_NOT_MOVING
