trial_id,arm,execution_complete,evaluation_eligible,typed_termination,steps_executed,collision_proxy_trial,collision_proxy_segment_count,min_collision_clearance_m,margin_violation_trial,min_margin_clearance_m,goal_reached,normalized_progress,compute_median_s,compute_p95_s,episode_wall_time_s,hard_blocker
5,REFERENCE_CBF_QP,True,True,NATIVE_NOT_MOVING,168,False,0,0.014440759354136933,False,0.0044407599948753235,False,0.29229643555702833,0.05837608780711889,0.07062688656151295,31.976974442601204,
5,ACTIVE_RUNTIME_V2,True,True,NATIVE_NOT_MOVING,1,False,0,0.046143943428353394,False,0.036143943272990656,False,0.0,0.13148626498878002,0.13148626498878002,14.85340260528028,
15,REFERENCE_CBF_QP,True,True,NATIVE_NOT_MOVING,127,False,0,0.011701513310151174,False,0.001701512966804002,False,0.2501585455242427,0.05852012149989605,0.07319167349487543,26.52518673799932,
15,ACTIVE_RUNTIME_V2,True,True,NATIVE_NOT_MOVING,127,False,0,0.011701513310151174,False,0.001701512966804002,False,0.2501585455242427,0.2666927082464099,0.31995471753180027,54.14226607233286,
25,REFERENCE_CBF_QP,True,True,NATIVE_NOT_MOVING,333,False,0,0.009139280799842463,False,5.400667782244455e-06,False,0.8531383172495484,0.058297174051404,0.0666594272479415,48.14434702973813,
25,ACTIVE_RUNTIME_V2,True,True,NATIVE_NOT_MOVING,1,False,0,0.053175722496686284,False,0.043175724064925335,False,0.0,0.12433802708983421,0.12433802708983421,14.370671071112156,
35,REFERENCE_CBF_QP,True,True,NATIVE_NOT_MOVING,41,False,0,0.02216257535990492,False,0.012162575107316049,False,0.06222099875154078,0.062399848364293575,0.07127706613391638,18.186283092945814,
35,ACTIVE_RUNTIME_V2,True,True,NATIVE_NOT_MOVING,41,False,0,0.02216257535990492,False,0.012162575107316049,False,0.06222099875154078,0.25648271292448044,0.2705342620611191,26.29135724902153,
45,REFERENCE_CBF_QP,True,True,NATIVE_NOT_MOVING,51,False,0,0.017333378375291905,False,0.007333378085387621,False,0.06684994582707256,0.06426738947629929,0.07709937635809183,19.54404269810766,
45,ACTIVE_RUNTIME_V2,True,True,NATIVE_NOT_MOVING,1,False,0,0.03951295373570778,False,0.029512955696999958,False,0.0,0.12522498983889818,0.12522498983889818,14.30221264064312,
55,REFERENCE_CBF_QP,True,True,NATIVE_NOT_MOVING,41,False,0,0.020845953965923907,False,0.010845953704104993,False,0.052407540263956456,0.06388568505644798,0.07340225670486689,18.12740104738623,
55,ACTIVE_RUNTIME_V2,True,True,NATIVE_NOT_MOVING,41,False,0,0.020845953965923907,False,0.010845953704104993,False,0.052407540263956456,0.24942327197641134,0.2755525428801775,27.175211996771395,
65,REFERENCE_CBF_QP,True,True,NATIVE_NOT_MOVING,383,False,0,0.019428710627439116,False,0.009428710361659175,False,0.991212014659192,0.06027090921998024,0.0705455569550395,52.99490793701261,
65,ACTIVE_RUNTIME_V2,True,True,NATIVE_NOT_MOVING,383,False,0,0.019428710627439116,False,0.009428710361659175,False,0.991212014659192,0.3286266829818487,0.358541090041399,152.03723073937,
75,REFERENCE_CBF_QP,True,True,NATIVE_NOT_MOVING,238,False,0,0.012095852416915867,False,0.002095852080670751,False,0.6139029556217381,0.06059363204985857,0.06991172302514315,37.99102074932307,
75,ACTIVE_RUNTIME_V2,True,True,NATIVE_NOT_MOVING,1,False,0,0.03772576173800838,False,0.02772576155784047,False,0.0,0.13626301102340221,0.13626301102340221,14.489717137999833,
85,REFERENCE_CBF_QP,True,True,NATIVE_NOT_MOVING,87,False,0,0.02157847997662287,False,0.011578479719984191,False,0.21577868953147084,0.057367244735360146,0.06318720616400242,22.196760282851756,
85,ACTIVE_RUNTIME_V2,True,True,NATIVE_NOT_MOVING,1,False,0,0.04060971552030977,False,0.030609715349485478,False,0.0,0.12417073640972376,0.12417073640972376,14.175167046487331,
95,REFERENCE_CBF_QP,True,True,NATIVE_NOT_MOVING,6,False,0,0.023251492796626732,False,0.013251492550420133,False,0.002329376392926384,0.05940196756273508,0.0645197331905365,15.214166578836739,
95,ACTIVE_RUNTIME_V2,True,True,NATIVE_NOT_MOVING,6,False,0,0.023251492796626732,False,0.013251492550420133,False,0.002329376392926384,0.19343976816162467,0.19514048844575882,16.207534352317452,
