trial_id,delta_new,first_primary_cycle,first_terminal_cycle,longest_primary_run,longest_terminal_run,number_primary_runs,number_terminal_runs,last_cycle_leaving_terminal,number_primary_to_terminal_transitions,number_terminal_to_primary_transitions,final_action_role,fraction_last_100_cycles_terminal,fraction_last_100_cycles_primary,terminal_fraction_first100,terminal_fraction_middle100,primary_fraction_first100
42,0.009284743805132847,0,60,55,440,3,1,NOT_AVAILABLE,0,0,TERMINAL,1.0,0.0,0.4,1.0,0.57
13,0.03204279714422417,0,173,147,327,4,1,NOT_AVAILABLE,0,0,TERMINAL,1.0,0.0,0.0,1.0,1.0
4,0.027654168781648614,0,432,375,68,15,1,NOT_AVAILABLE,0,0,TERMINAL,0.68,0.2,0.0,0.0,1.0
93,0.2058043504253555,0,440,407,60,6,1,NOT_AVAILABLE,0,0,TERMINAL,0.6,0.34,0.0,0.0,1.0
39,0.01586488777380192,0,73,60,427,3,1,NOT_AVAILABLE,0,0,TERMINAL,1.0,0.0,0.27,1.0,0.69
49,0.031153278092589318,0,103,71,397,6,1,NOT_AVAILABLE,0,0,TERMINAL,1.0,0.0,0.0,1.0,0.96
97,-0.8294558439223783,0,4,1,496,2,1,NOT_AVAILABLE,0,0,TERMINAL,1.0,0.0,0.96,1.0,0.02
60,-0.038190074971385525,NOT_AVAILABLE,0,0,500,0,1,NOT_AVAILABLE,0,0,TERMINAL,1.0,0.0,1.0,1.0,0.0
83,2.488825495391804e-06,0,14,3,486,4,1,NOT_AVAILABLE,0,0,TERMINAL,1.0,0.0,0.86,1.0,0.09
36,0.023537404647465267,0,84,58,416,5,1,NOT_AVAILABLE,0,0,TERMINAL,1.0,0.0,0.16,1.0,0.79
67,0.15867424170624655,0,NOT_AVAILABLE,408,0,14,0,NOT_AVAILABLE,0,0,PRIMARY,0.0,0.86,0.0,0.0,1.0
86,0.015337915082808434,0,118,104,382,3,1,NOT_AVAILABLE,0,0,TERMINAL,1.0,0.0,0.0,1.0,1.0
3,0.629899806708428,0,426,386,74,9,1,NOT_AVAILABLE,0,0,TERMINAL,0.74,0.2,0.0,0.0,1.0
81,-0.02465888301024314,0,6,1,494,3,1,NOT_AVAILABLE,0,0,TERMINAL,1.0,0.0,0.94,1.0,0.03
87,-0.637242873421451,NOT_AVAILABLE,0,0,500,0,1,NOT_AVAILABLE,0,0,TERMINAL,1.0,0.0,1.0,1.0,0.0
