trial_id,step_id,h,status_from_h,nearest_or_active_gaussian_id,raw_clearance_component,inflation_component
0,0,-0.00907058734446764,FAIL,28678,0.0030294126555323597,0.0121
0,158,-0.010310942307114601,FAIL,24966,0.0017890576928853985,0.0121
0,317,-0.010580068454146385,FAIL,41388,0.0015199315458536145,0.0121
24,0,-0.0066307014785707,FAIL,109456,0.0054692985214293,0.0121
24,73,-0.011392909102141857,FAIL,54682,0.0007070908978581425,0.0121
24,147,-0.010575851425528526,FAIL,22101,0.0015241485744714733,0.0121
49,0,-0.007290191482752562,FAIL,110005,0.004809808517247438,0.0121
49,21,-0.009041450917720795,FAIL,54037,0.003058549082279205,0.0121
49,42,-0.0108484523370862,FAIL,63283,0.001251547662913799,0.0121
74,0,-0.008612850680947304,FAIL,17817,0.003487149319052696,0.0121
74,13,-0.009765450842678547,FAIL,17817,0.0023345491573214527,0.0121
74,26,-0.010766047984361649,FAIL,100591,0.001333952015638351,0.0121
99,0,-0.00907058734446764,FAIL,28678,0.0030294126555323597,0.0121
99,158,-0.010310942307114601,FAIL,24966,0.0017890576928853985,0.0121
99,317,-0.010580068454146385,FAIL,41388,0.0015199315458536145,0.0121
