candidate_id,dataset_family,scene_name,source_provenance_confirmed,license_source_metadata_available,gsplat_checkpoint_locally_available,checkpoint_format_directly_parseable,camera_coordinate_metadata_available,metric_scale_available,navigable_free_space_volume_exists,static_scene,independent_geometry_available,different_dataset_family,different_reconstruction_pipeline,bounded_storage_compute_cost,selection_score,selection_rank,notes
local-desktop-new folder61-337ebd506321,unknown,New Folder61,0,0,2,0,0,0,0,0,0,0,0,1,3,443,Score uses pre-execution metadata only.
local-documents-new folder61-3e5769d9b4ad,unknown,New Folder61,0,0,2,0,0,0,0,0,0,0,0,1,3,444,Score uses pre-execution metadata only.
local-desktop-new folder62-b2619516eeb9,unknown,New Folder62,0,0,2,0,0,0,0,0,0,0,0,1,3,445,Score uses pre-execution metadata only.
local-documents-new folder62-771d2af01db8,unknown,New Folder62,0,0,2,0,0,0,0,0,0,0,0,1,3,446,Score uses pre-execution metadata only.
local-desktop-new folder63-10ebcddc8f73,unknown,New Folder63,0,0,2,0,0,0,0,0,0,0,0,1,3,447,Score uses pre-execution metadata only.
local-documents-new folder63-beade85f73c8,unknown,New Folder63,0,0,2,0,0,0,0,0,0,0,0,1,3,448,Score uses pre-execution metadata only.
local-desktop-new folder64-5a7879ddbdf3,unknown,New Folder64,0,0,2,0,0,0,0,0,0,0,0,1,3,449,Score uses pre-execution metadata only.
local-documents-new folder64-1c9d13fdcd16,unknown,New Folder64,0,0,2,0,0,0,0,0,0,0,0,1,3,450,Score uses pre-execution metadata only.
local-desktop-new folder65-c4b1d9e33e07,unknown,New Folder65,0,0,2,0,0,0,0,0,0,0,0,1,3,451,Score uses pre-execution metadata only.
local-documents-new folder65-b211449d51fa,unknown,New Folder65,0,0,2,0,0,0,0,0,0,0,0,1,3,452,Score uses pre-execution metadata only.
local-desktop-new folder66-940eeb5e8852,unknown,New Folder66,0,0,2,0,0,0,0,0,0,0,0,1,3,453,Score uses pre-execution metadata only.
local-documents-new folder66-2e9bfd0a91e6,unknown,New Folder66,0,0,2,0,0,0,0,0,0,0,0,1,3,454,Score uses pre-execution metadata only.
local-desktop-new folder67-d06263f1f06f,unknown,New Folder67,0,0,2,0,0,0,0,0,0,0,0,1,3,455,Score uses pre-execution metadata only.
local-documents-new folder67-835eb9098fcf,unknown,New Folder67,0,0,2,0,0,0,0,0,0,0,0,1,3,456,Score uses pre-execution metadata only.
local-desktop-new folder68-cd8d0eb24fc3,unknown,New Folder68,0,0,2,0,0,0,0,0,0,0,0,1,3,457,Score uses pre-execution metadata only.
local-documents-new folder68-78a11e7280bc,unknown,New Folder68,0,0,2,0,0,0,0,0,0,0,0,1,3,458,Score uses pre-execution metadata only.
local-desktop-new folder69-ead34a34987b,unknown,New Folder69,0,0,2,0,0,0,0,0,0,0,0,1,3,459,Score uses pre-execution metadata only.
local-documents-new folder69-2105079352cc,unknown,New Folder69,0,0,2,0,0,0,0,0,0,0,0,1,3,460,Score uses pre-execution metadata only.
local-desktop-new folder7-857dadeae493,unknown,New Folder7,0,0,2,0,0,0,0,0,0,0,0,1,3,461,Score uses pre-execution metadata only.
local-documents-new folder7-9b644ae14aad,unknown,New Folder7,0,0,2,0,0,0,0,0,0,0,0,1,3,462,Score uses pre-execution metadata only.
local-desktop-new folder70-9df3c7408f94,unknown,New Folder70,0,0,2,0,0,0,0,0,0,0,0,1,3,463,Score uses pre-execution metadata only.
local-documents-new folder70-2f85878bfaf9,unknown,New Folder70,0,0,2,0,0,0,0,0,0,0,0,1,3,464,Score uses pre-execution metadata only.
local-desktop-new folder71-042d49a101ba,unknown,New Folder71,0,0,2,0,0,0,0,0,0,0,0,1,3,465,Score uses pre-execution metadata only.
local-documents-new folder71-7a99c648a656,unknown,New Folder71,0,0,2,0,0,0,0,0,0,0,0,1,3,466,Score uses pre-execution metadata only.
local-desktop-new folder72-b905b7258fc1,unknown,New Folder72,0,0,2,0,0,0,0,0,0,0,0,1,3,467,Score uses pre-execution metadata only.
local-documents-new folder72-470614d46452,unknown,New Folder72,0,0,2,0,0,0,0,0,0,0,0,1,3,468,Score uses pre-execution metadata only.
