control_position,trial_id,cohort,selection_rule,source_artifact
first,0,nonactivated_control,sorted_original_nonactivated_first_median_last,/disk1/zlab/projects/safer-splat/work/risk_aware_cbf/results/v4c_hstep3_flight100_v1_bestD/trials.csv
median,52,nonactivated_control,sorted_original_nonactivated_first_median_last,/disk1/zlab/projects/safer-splat/work/risk_aware_cbf/results/v4c_hstep3_flight100_v1_bestD/trials.csv
last,99,nonactivated_control,sorted_original_nonactivated_first_median_last,/disk1/zlab/projects/safer-splat/work/risk_aware_cbf/results/v4c_hstep3_flight100_v1_bestD/trials.csv
