trial_id,original_recovery_used_count,hierarchical_recovery_used_count,path_identical,original_seconds_total,hierarchical_seconds_total,wrapper_overhead_sec,notes
0,0,0,True,13.388517504557967,13.087086519226432,-0.30143098533153534,Exact path keys compare compact outputs; no controls retained.
52,0,0,True,15.215119080618024,15.330023784190416,0.11490470357239246,Exact path keys compare compact outputs; no controls retained.
99,0,0,True,13.153745342046022,13.06952602416277,-0.0842193178832531,Exact path keys compare compact outputs; no controls retained.
